Depcom	affichage	atteinte cible	Rep_hab graph	Rep_hab	Reste (num)	Nom Com Dep	Nom Commune	Latitude	Longitude	cible	nb rep 2019 cyclistes	Number of Records	Population	Unité affichage
95197	2.912186380	0.291218638	2.912186380	2.912186380	0	Deuil-la-Barre-95	Deuil-la-Barre	48.971269017	2.326162901	223.2	59	65	22320	réponses par habitant
95183	1.489868892	0.148986889	1.489868892	1.489868892	41	Courdimanche-95	Courdimanche	49.040676793	1.999443592	67.12	9	10	6712	réponses par habitant
95176	0.877779636	0.087777964	0.877779636	0.877779636	30	Cormeilles-en-Parisis-95	Cormeilles-en-Parisis	48.968224968	2.199213495	239.24	20	21	23924	réponses par habitant
95149	1.218397807	0.08	1.218397807	1.218397807	47	Chaumontel-95	Chaumontel	49.128996297	2.436433300	50	3	4	3283	réponses par habitant
95134	0.397693378	0.039769338	0.397693378	0.397693378	48	Champagne-sur-Oise-95	Champagne-sur-Oise	49.142775912	2.228016806	50.29	2	2	5029	réponses par habitant
95127	1.801942965	0.180194296	1.801942965	1.801942965	0	Cergy-95	Cergy	49.040113157	2.050821237	638.2	107	115	63820	réponses par habitant
95116	0.2	0.02	0.2	0.232396003	50	Bruyères-sur-Oise-95	Bruyères-sur-Oise	49.161012529	2.328783006	50	0	1	4303	réponses par habitant
95091	0.322372663	0.032237266	0.322372663	0.322372663	48	Bouffémont-95	Bouffémont	49.04157253	2.298384580	62.04	2	2	6204	réponses par habitant
95063	4.210381005	0.421038100	4.210381005	4.210381005	0	Bezons-95	Bezons	48.925981013	2.211333878	289.76	104	122	28976	réponses par habitant
95060	0.566171267	0.056617127	0.566171267	0.566171267	46	Bessancourt-95	Bessancourt	49.037308265	2.198510007	70.65	4	4	7065	réponses par habitant
95058	0.2	0.02	0.2	0.371885459	50	Bernes-sur-Oise-95	Bernes-sur-Oise	49.165413332	2.301276337	50	0	1	2689	réponses par habitant
95052	0.312597687	0.031259769	0.312597687	0.312597687	48	Beaumont-sur-Oise-95	Beaumont-sur-Oise	49.140098106	2.300212672	95.97	2	3	9597	réponses par habitant
95051	0.690369348	0.069036935	0.690369348	0.690369348	44	Beauchamp-95	Beauchamp	49.014874601	2.192233348	86.91	6	6	8691	réponses par habitant
95042	1	0.04	1	1	48	Baillet-en-France-95	Baillet-en-France	49.058763445	2.302423902	50	2	2	2000	réponses par habitant
95039	0.431344357	0.043134436	0.431344357	0.431344357	47	Auvers-sur-Oise-95	Auvers-sur-Oise	49.080385858	2.154880709	69.55	3	3	6955	réponses par habitant
